response_id,prompt_id,response_text,response_time_seconds,quality_score,response_created_at,response_status
28,28,Property speech position common performance father shake. Amount help friend else.,11.34,8.6,2025-11-24 02:13:43,Success
29,29,Fund create rich development Mrs surface analysis.,9.69,6.7,2025-12-17 05:02:16,Success
30,30,Region church standard base sure. Wear common baby see. Production third represent Mrs thank myself movie.,4.92,1.4,2025-10-11 05:50:37,Failed
31,31,Billion old most. News around finally figure card.,8.69,3.9,2026-03-29 07:39:46,Failed
32,32,Some concern up.,3.7,1.5,2026-04-28 21:37:47,Failed
33,33,Point lose story minute simply where. Example thank see simple budget itself. Design probably born cell.,14.96,9.7,2026-05-04 13:40:18,Failed
34,34,Condition cover admit real. Expect particularly mother. Example magazine memory they.,8.84,1.8,2026-03-04 08:01:16,Partial
35,35,Likely past check set. Participant with everyone real benefit claim recognize book.,4.7,4.5,2025-12-07 18:08:11,Success
36,36,Despite it important scene.,5.37,5.3,2026-02-21 17:00:42,Failed
37,37,Artist girl culture. Much cover how their.,1.22,4.6,2025-05-09 19:48:26,Success
38,38,Another special establish though tonight near ability great. Understand successful pattern process. Should artist later move it state series.,6.28,4.9,2026-05-05 21:21:56,Failed
39,39,Concern new threat think maybe. Pull third data sport imagine section.,2.39,2.2,2025-11-20 17:00:34,Failed
40,40,Third white tree seek. Computer lawyer easy need whole board. Couple professional social cut.,3.37,4.6,2025-08-03 22:45:37,Failed
41,41,Between music meet wife. Today leave outside task more foot. Image time manage. Practice institution pick have.,3.34,6.5,2025-12-20 08:34:39,Failed
42,42,Play various mission. Easy avoid camera parent what.,8.1,3.2,2025-06-22 16:23:30,Partial
43,43,Reason good order often mouth east realize. Produce condition push wrong state character. Heavy receive state move shake particularly.,11.76,3.9,2025-09-22 18:32:17,Failed
44,44,Catch large final medical. Through class for own provide pick across. Scene though often part knowledge physical.,1.8,7.0,2025-07-02 18:10:28,Partial
45,45,Institution write fight share off how. None network other. Rather marriage next rate sure. If away meeting sort soon.,5.8,2.7,2026-04-02 06:21:30,Partial
46,46,In drug stuff million. Gas human ok space blood herself simply move.,9.11,1.2,2025-08-19 07:58:24,Partial
47,47,Act painting production method house act. Brother thought all huge.,2.95,4.1,2025-11-02 11:08:59,Partial
48,48,Hundred need top adult name establish.,9.54,5.0,2026-03-28 01:18:41,Success
49,49,Minute show a theory of couple. Form figure spring.,3.4,4.4,2025-12-08 08:14:01,Failed
50,50,Organization list street sea black girl worker door. Understand language have actually.,12.87,2.0,2025-05-08 13:49:23,Success
51,51,Quickly result service. Big thousand sing green data treat.,4.02,6.6,2025-09-24 03:28:56,Success
52,52,Best end north stay without. It notice me look return. President most class.,13.1,8.4,2026-04-14 09:13:42,Success
53,53,Both seek into.,5.48,8.2,2026-04-18 09:52:19,Partial
54,54,Discuss try field. Capital other analysis low professor.,7.03,1.2,2025-10-19 04:41:40,Success
55,55,Stand hear feeling although center sing. Food general our the. Firm international condition voice.,11.23,2.9,2025-07-17 13:06:43,Failed
56,56,Account door use positive far soldier else film. Field eye size head development join.,8.09,3.3,2025-07-13 15:10:56,Partial
57,57,Move fine major bank case. Rock design coach stock tonight argue.,9.53,9.9,2026-02-20 02:45:44,Failed
58,58,Campaign continue before than upon single. Type policy plan leg church.,10.63,1.2,2026-03-04 07:13:54,Failed
59,59,Politics rule pay new Republican fly foot. Once figure race get.,13.64,5.7,2026-02-09 03:44:09,Partial
60,60,Image within foreign happy. Large area trouble more. Guy out election.,2.97,3.6,2025-10-31 16:31:37,Failed
61,61,Likely share police ground center. Them rule table fast street such.,9.46,1.5,2025-06-23 13:51:46,Failed
62,62,Feel south number current eye top data four. Member air crime morning instead them attention. Dream popular truth woman interview.,14.21,1.6,2025-05-22 20:50:56,Failed
63,63,Media threat speech news good company myself. Act still itself firm artist. Business reality impact story.,4.43,8.7,2025-07-29 22:30:19,Failed
64,64,Lot south mention big north. Green rate could evidence. Market same kind her class speak.,5.72,2.0,2025-12-23 00:24:59,Partial
65,65,Difference sport carry painting either. Pick involve will game participant offer.,13.08,6.8,2026-03-11 06:01:55,Success
66,66,Born mother never.,14.71,5.6,2025-11-10 14:58:25,Failed
67,67,Admit town strategy raise future believe be. Important miss toward color far everybody visit simply.,1.94,3.8,2025-08-31 21:12:53,Failed
68,68,Right old just night theory statement three forget. Give mind watch score successful anything century. Seat leg much produce production piece. Star federal music police.,8.21,2.7,2026-04-25 16:37:08,Failed
69,69,Left unit seek more. Understand specific so some deal. Set civil yet word bit consider design.,14.52,6.0,2025-05-19 20:37:01,Failed
70,70,Me sell support box bank early worry. Strong bag war from activity start scene.,0.81,3.2,2026-01-03 00:36:33,Failed
71,71,Suffer street knowledge officer have challenge technology under. Debate statement health physical prevent season Mrs again. Which activity structure five call house second.,4.92,5.4,2025-06-24 12:44:55,Failed
72,72,Drop once action when mouth table world. Care term glass during interview.,2.78,4.1,2025-12-17 05:42:03,Partial
73,73,Foreign movement big maybe but exist article. Federal research deal attorney.,5.65,3.7,2025-09-18 15:15:54,Failed
74,74,Day serious cause key describe give result. Nothing decade drop peace region phone. Focus them seem wife bed plan factor.,4.5,1.6,2026-01-21 20:19:35,Partial
75,75,Practice team star dream. Nothing ground smile break here early what.,13.24,9.0,2026-01-01 13:38:56,Success
76,76,Stuff treat likely consider.,14.19,9.5,2025-05-19 06:31:31,Success
77,77,Organization you practice important gas economic computer. Help effort attention relate.,2.7,9.1,2025-10-15 09:59:48,Failed
78,78,Throw perhaps recent. Play daughter movement stand try important.,2.49,7.6,2025-08-19 11:30:51,Failed
79,79,White also protect natural career woman.,14.43,6.5,2025-05-11 13:02:22,Failed
80,80,Main decade care tax. Enjoy else establish break.,10.45,4.8,2026-02-25 12:50:13,Failed
81,81,Option some unit offer offer. Industry I receive. Phone reality about community measure shake everything party. She that senior go talk down story.,2.71,9.7,2025-09-12 23:11:07,Failed
82,82,Career make law thousand again whose south. World small serious stuff star simply she. Data water opportunity.,5.27,5.9,2026-02-27 11:42:33,Success
83,83,Medical day like prepare. Which develop doctor identify set last. Behind response painting performance both.,9.96,6.2,2025-09-20 21:50:35,Failed
84,84,Stay them wide control campaign card enough. Wide under attack suggest.,12.1,8.8,2026-04-08 05:40:41,Partial
85,85,Particularly right green left. Environmental evidence after.,10.48,9.1,2026-02-07 00:13:28,Success
86,86,Stuff evening north city he sit style poor. Perform research finally western. Certain everyone weight agreement.,6.74,9.2,2026-02-15 21:47:44,Success
87,87,Character hope eight value imagine contain health. Success soldier control add strategy really pull. Information blue stock appear.,10.02,6.1,2025-07-22 01:24:28,Success
88,88,Moment between high anyone activity national. Reason college various charge along organization single.,5.1,6.0,2025-08-08 03:46:02,Failed
89,89,Return audience growth important myself all. Let painting air benefit during four. Whole ago left past become sell alone.,2.22,3.9,2025-10-30 15:56:54,Success
90,90,Behavior daughter spend not. Line away hope central build sound effect.,11.04,7.9,2026-04-11 06:12:53,Partial
91,91,Society your book cold space who. Strong lawyer fill imagine work certain difficult.,14.44,3.7,2025-09-02 10:26:15,Failed
92,92,Contain certain possible address. Congress treat establish bank west trial.,14.04,9.0,2026-01-21 07:50:06,Failed
93,93,Even score land successful third heart against purpose.,4.47,8.0,2025-10-18 16:49:38,Success
94,94,Firm different candidate important prepare owner. Result agency wife care way. Once go him capital blood property. Western Mr two before south music.,2.41,1.2,2025-10-12 11:06:38,Failed
95,95,Sort those effort new social traditional message instead. Less yourself traditional matter especially.,9.45,6.5,2025-11-01 11:54:00,Failed
96,96,Memory discuss start. With with body allow factor suffer candidate.,3.85,3.1,2025-10-25 02:46:35,Failed
97,97,Anyone number risk. Value shoulder wall cut part room campaign.,0.88,1.7,2025-07-23 23:39:11,Partial
98,98,Everything especially join last week. Citizen difference whole improve ever could research. Collection young current.,2.44,8.6,2026-02-14 14:41:34,Partial
99,99,Term grow forget these. Ability again nature heavy soldier. Law order partner about minute should.,10.82,4.4,2025-12-14 23:16:17,Partial
100,100,Edge image able often. His send physical star.,7.63,2.2,2025-07-01 06:14:14,Success
101,101,Value score old mother significant. Science pay hold my run feel writer. Wall term natural lose.,3.78,4.7,2025-08-16 12:47:28,Success
102,102,American age others subject operation. Range eat budget benefit strong. Bar benefit think five product new hard.,13.92,9.6,2025-08-16 23:16:26,Success
103,103,Center of source change adult player source. Attention data several. Include air focus want parent.,11.26,9.9,2025-08-13 13:40:15,Success
104,104,Three event identify kid respond believe nearly environment. Special relationship much.,1.46,9.3,2025-06-12 21:43:39,Partial
105,105,Turn present message others. Why chance three cell most. Thought market read toward life smile grow.,13.07,5.4,2025-07-22 03:35:36,Partial
106,106,Civil us general lawyer across. City behind sign wear. Red blue break industry attorney computer place.,13.07,9.0,2025-09-12 11:11:13,Partial
107,107,Adult program throughout boy all let common. Enough impact approach campaign. Mission leader ahead rich second.,6.37,1.4,2025-07-15 14:19:53,Failed
108,108,Nothing wrong phone attention. By pressure enough mother.,12.45,7.5,2025-09-30 16:18:05,Partial
109,109,Save itself foot what sign room wind.,9.37,7.7,2025-08-16 17:46:59,Failed
110,110,Rise wife figure concern certain key. System feel stay agent performance.,8.27,6.8,2025-09-14 14:45:07,Failed
111,111,Hand rest sometimes. Who finally suddenly else glass.,11.91,5.7,2025-10-19 03:54:51,Partial
112,112,Yourself movement clear fish big quickly step. Hour would meeting suggest.,7.13,8.9,2026-02-05 13:53:23,Success
113,113,Use situation well task everybody baby. These this impact nation member such so fall. Stop production official police gun already window.,8.02,4.6,2025-06-19 14:31:04,Failed
114,114,May low feeling certainly dog. Speech film film information school. Natural water character from PM such.,1.07,4.5,2025-12-29 03:13:32,Failed
115,115,Ground offer common wide. Song poor because buy provide. Manage crime nearly most less able protect do.,14.46,2.7,2025-08-03 20:19:21,Partial
116,116,Smile matter tell south right month everyone soon. Age if employee similar girl better beyond. Consider claim there.,6.27,3.7,2025-09-06 02:40:59,Partial
117,117,Bank risk east ahead remain. Financial season month.,7.19,4.8,2025-05-09 22:59:57,Failed
118,118,Central require politics measure apply around clear. Bit land stock performance treatment.,13.83,7.2,2025-05-27 13:17:40,Success
119,119,Space allow actually fear. Spend drive seek many between state seven.,7.22,6.8,2025-12-09 18:49:10,Success
120,120,Sit bit piece. This choose write great resource within. Return election ok.,10.98,2.0,2025-08-26 23:21:02,Failed
121,121,Forget half act build deal join development. Close budget line coach more test kitchen. Likely single out.,14.1,7.3,2025-05-30 04:06:38,Success
122,122,Born indeed interview need mention single like. Candidate dark other serve.,6.2,3.9,2026-01-09 10:50:56,Success
123,123,Loss simple movement magazine study. Language information tell. Consider expert address.,3.09,6.3,2026-02-13 00:52:10,Failed
124,124,Six letter wife all college either. Create should degree house control. Hospital also year own.,13.49,8.9,2026-02-28 19:30:30,Success
125,125,Good lay huge line home kind radio. Join real early sure. Recent vote wall become area break.,4.13,7.2,2025-10-13 05:27:43,Failed
126,126,Home above until design. Another wait spend mission election site.,12.05,7.5,2025-08-25 21:00:36,Success
127,127,Per tend official eye. Me detail act tree school.,1.82,7.4,2025-12-27 14:44:32,Failed
128,128,First director challenge. Treatment help rest shake research writer.,5.76,5.7,2026-02-03 12:25:47,Partial
129,129,Require each property very television discussion. Before about admit budget set treatment inside.,11.04,9.8,2026-03-02 20:48:21,Failed
130,130,Measure space skin talk business line necessary. Season trial book national baby last.,14.27,4.4,2025-11-15 16:02:14,Partial
131,131,Care or share marriage. Game employee heavy voice. Several speech left.,1.14,2.5,2025-08-04 12:29:53,Partial
132,132,Child skill itself. Sign institution leg center group kid. Leave article matter.,8.7,6.9,2025-06-24 21:44:41,Success
133,133,South senior lose yet sell loss. Describe main fill direction. Simply thousand fast.,2.85,2.3,2025-06-05 15:22:23,Failed
134,134,Suggest relationship public himself class common employee. Rate idea challenge late never street.,1.24,3.8,2025-05-26 01:49:31,Failed
135,135,Investment carry knowledge throughout raise century. Teacher relationship wall decade. Whom husband individual catch page design more.,11.65,5.0,2026-02-12 17:47:34,Failed
136,136,Parent image public air enjoy truth model. Option do arm free have dog. Get agent modern.,3.12,9.1,2026-03-28 07:39:00,Success
137,137,Listen officer score whatever. Other last week simply fire radio. In around list other leg represent. Effort job baby relate agree story.,0.55,7.9,2025-11-28 23:38:17,Success
138,138,Suddenly local team see. Lay deal arrive compare.,7.15,8.7,2026-01-13 05:27:41,Failed
139,139,Billion seven structure store prepare majority parent. Blood clearly single citizen third head eye.,12.21,6.5,2026-03-29 10:44:04,Partial
140,140,Officer discussion hear vote structure western. Debate task condition. Together section yet.,3.95,6.3,2025-12-15 04:01:56,Partial
141,141,Believe without entire. Environmental stock art national than late. Tv south ball.,7.08,5.0,2026-05-02 02:50:53,Failed
142,142,Thought always garden action allow on decade. Strong contain true heavy difference both.,9.2,3.2,2026-03-18 06:12:27,Failed
143,143,None site item drop. Accept develop none scientist series foot article. Past partner would foot recognize despite.,4.53,6.7,2025-12-29 04:15:04,Success
144,144,Left citizen serve conference. Civil occur state develop.,1.21,2.3,2026-01-16 15:02:25,Failed
145,145,Window none investment by involve.,5.56,2.3,2025-10-18 08:34:44,Success
146,146,Position station law coach popular green. Open enter see only age. Media national feeling.,10.17,8.5,2025-05-09 09:55:51,Partial
147,147,Year send suffer against and act resource. North success commercial another. Sign tough since war.,5.3,1.8,2026-04-15 21:51:26,Success
148,148,Allow else occur alone different together give court. Community whatever each attack child.,6.55,2.6,2025-09-30 16:05:56,Failed
149,149,Table arrive peace role writer exist. Difficult if mean. Speak expect situation perhaps sense early themselves.,4.62,6.9,2025-08-30 17:16:32,Failed
150,150,Try option car speech ago nor. Yourself discover call whole especially establish class.,9.13,8.1,2025-12-19 11:56:42,Success
151,151,Sister seem hotel traditional particularly pass. Brother drug market cup.,14.51,7.7,2025-11-11 04:19:00,Partial
152,152,Onto everyone assume address consider. Political not top game worry. One Congress land reflect.,14.01,1.8,2025-06-16 02:49:55,Partial
153,153,Discussion husband want talk ever five. Picture human him today center agent per. Large short ago number.,5.18,9.1,2025-07-08 19:45:42,Success
154,154,Firm case article coach black. Reality team great fish even rest. Beyond policy federal program.,11.5,8.6,2025-05-27 12:05:22,Success
155,155,Magazine option point end painting camera. Team check behavior nation remain. Pick push red music body.,4.75,2.2,2025-07-17 08:45:21,Failed
156,156,Sign low among manage him.,12.96,4.0,2025-12-17 11:25:03,Partial
157,157,Thing serious open worry involve. Group pay arm future.,8.11,7.3,2026-02-10 13:22:26,Failed
158,158,Whether ever third four me. Same most stop must win fly. Report local identify commercial science entire.,1.34,6.1,2025-11-11 14:52:34,Failed
159,159,Single gun under television point five health size. Collection city contain go sense mouth.,8.17,1.8,2025-09-22 07:02:40,Failed
160,160,Series writer language need. Open edge Congress actually surface. Society early event explain.,10.49,9.4,2025-12-17 00:23:14,Failed
161,161,Activity add reduce individual color really always improve. Energy store garden.,4.66,6.5,2026-03-30 05:19:03,Partial
162,162,Guess create at structure positive affect discuss avoid.,4.27,6.2,2026-02-18 16:17:23,Failed
163,163,Detail have customer people care fear less. Wear develop system reason.,5.63,2.2,2025-10-18 09:25:28,Failed
164,164,Century magazine also hundred hundred type security.,7.7,7.6,2026-03-27 00:58:52,Partial
165,165,Wish that hospital despite moment vote action. For leg customer interest know international chair.,7.64,2.6,2025-08-02 21:48:17,Failed
166,166,Work though skill boy poor. Else Republican whole federal voice resource home everybody.,3.87,3.6,2026-03-21 16:06:45,Success
167,167,Trip cultural condition like. Model live inside truth all teach.,0.52,1.2,2025-07-28 06:37:32,Failed
168,168,Factor perhaps and everyone investment attorney foreign future. Nearly after beautiful suffer people north common.,12.05,7.6,2026-02-03 03:33:01,Success
169,169,Think expert despite. Entire environment shoulder collection environmental.,12.09,10.0,2025-10-21 16:55:01,Partial
170,170,May home eight now young. Grow fall movie seat. Success carry nice among read common.,1.16,4.1,2025-11-24 14:46:15,Failed
171,171,As activity whatever other dinner. Personal fine score environmental before risk. Fly operation administration something ok.,3.58,6.8,2025-08-01 21:58:22,Failed
172,172,Back public anyone major positive improve behind. Lay what mission every lead. Road bank sell successful white goal.,4.58,8.1,2025-10-16 17:57:30,Partial
173,173,Support capital theory sense identify under. Happy father really mind.,4.85,5.9,2026-03-21 10:02:43,Success
174,174,Number voice chance little receive officer body since. Free recently power study his. Wish guy send into front.,2.15,4.0,2025-05-22 12:11:04,Partial
175,175,Know trip option early agree. Popular program against identify red thought build.,11.0,6.5,2026-05-05 16:16:21,Success
176,176,Same inside thousand little. Politics simply pass side laugh positive issue.,12.56,2.7,2025-08-01 00:07:13,Partial
177,177,Put space another likely day increase. Quite college middle pay summer. Would agency such sometimes point summer such.,13.87,5.3,2026-01-10 15:20:44,Partial
178,178,Catch stock reason around possible night share. Nation husband rich ahead.,12.06,6.8,2025-10-07 02:01:34,Partial
179,179,Stuff several I clear. Listen want oil.,2.75,5.1,2025-07-16 04:35:42,Failed
180,180,Bag yet staff us make no industry follow. Significant do bed scene two. Institution store particularly commercial onto citizen deal.,13.49,5.2,2026-02-02 10:03:13,Partial
181,181,Reach professor win beautiful side whatever few. Realize both grow not without last yes out. Pay standard keep ability. You most when even no.,13.95,1.5,2025-11-23 09:59:18,Failed
182,182,Speech recently situation really state. Letter much increase maybe.,4.84,7.5,2026-05-03 12:08:33,Partial
183,183,Plant west even develop box third.,8.55,1.2,2025-11-29 06:29:26,Failed
184,184,Bill practice education. Tv probably top pressure behavior ability vote simple. Live view with include. Amount they data message much.,10.44,8.2,2025-11-25 08:08:30,Partial
185,185,City change close watch nearly prepare side. Successful for water produce affect.,1.46,2.3,2025-07-04 12:55:02,Success
186,186,Process whole week contain positive place become. Music institution or both outside thus. Commercial line hot administration.,5.42,4.4,2025-05-21 04:23:18,Failed
187,187,Subject drive build arm. Yes instead pull think. Especially for organization picture contain.,12.71,6.1,2025-08-14 14:49:35,Partial
188,188,Quite themselves tonight ball action second specific. Fear price hear imagine. One voice choose.,3.22,2.1,2025-08-02 20:50:58,Partial
189,189,Eat consumer travel now if staff. Economic heavy set a. Drug five such through final.,10.73,3.8,2025-09-22 00:09:51,Success
190,190,Recognize interesting may bad mouth. Smile single everything administration during hundred. Subject together national budget them.,4.44,1.8,2025-12-15 16:18:15,Success
191,191,Eat hard voice hundred charge culture camera. Although idea less simple wife imagine. Available health financial staff whose talk project company.,5.89,8.5,2026-02-23 00:24:36,Partial
192,192,Control modern continue which nor.,3.63,3.7,2025-06-27 08:32:16,Success
193,193,Indicate authority law use on computer.,5.93,1.3,2026-04-19 23:00:44,Success
194,194,Particular operation threat over start onto. Social safe easy fly need local win new. Report late cost trouble its feeling east.,13.74,5.0,2025-11-28 07:04:35,Success
195,195,Model term edge. Spend believe customer month couple share be yard.,12.09,9.1,2025-10-11 15:02:53,Success
196,196,Above at father.,3.26,9.3,2026-01-16 16:28:34,Failed
197,197,Chair pay section attack society scientist. Table that room nor design. Admit might offer focus.,13.17,3.8,2026-04-23 07:06:18,Partial
198,198,Car option music popular strategy himself civil. Father activity perform remember. Area consumer front discussion.,2.58,8.8,2025-12-15 18:50:27,Failed
199,199,Into wall bill wall next per. Trip nothing with since. Power tax I.,10.31,2.2,2025-06-28 11:32:47,Failed
200,200,Listen hair physical able.,1.03,4.5,2026-01-02 10:33:09,Failed
201,201,Beyond moment occur within check share. Support according easy vote make. Represent fish who prevent.,2.18,3.8,2025-11-11 14:00:28,Success
202,202,Sure best appear majority cultural college. Wrong glass difficult beat offer professional whole. Reason street season on. Opportunity middle cover least.,10.46,6.3,2025-07-21 01:43:06,Success
203,203,Special system financial suggest. Nearly a even issue know.,5.33,9.0,2025-12-01 22:15:18,Success
204,204,Simple firm assume why. Reality like focus. Author likely alone try newspaper sit ground low.,8.05,6.9,2025-08-09 02:34:15,Partial
205,205,Or bad goal cover eight painting available. Meeting general name bad say believe.,0.83,7.8,2026-04-20 23:46:45,Failed
206,206,Even song hotel hand own. Two another man list. Expect onto throughout.,13.44,3.9,2026-03-15 11:16:49,Success
207,207,Five find much world yes.,4.66,5.8,2025-08-12 21:28:08,Partial
208,208,Change bank much race open hour civil. Draw he star. Human we pick really again know music. Hot church recently bed.,10.23,3.5,2026-04-23 08:36:59,Success
209,209,Reality remember deal data door. Car area couple world feel sure. Traditional tonight seven subject maintain measure who.,4.47,1.1,2025-12-11 04:29:51,Failed
210,210,Others American quickly. Outside past must reveal. Though example develop begin race treat specific her.,8.61,1.9,2025-06-14 17:02:05,Failed
211,211,Every full another clear human cost budget. Prevent allow yes sometimes public city adult difficult. Question live weight guy everything lose recently.,5.58,3.9,2026-03-11 02:53:17,Success
212,212,Quickly quickly case policy cultural kitchen as. Second statement occur role office instead.,14.18,8.2,2026-03-12 04:10:25,Failed
213,213,Young car imagine easy reflect office. Guy wish case. Available movement administration hear spend trade.,4.05,1.6,2025-05-10 15:16:35,Failed
214,214,Might any up appear door how. Its across analysis room thought.,13.44,5.9,2025-06-11 09:38:12,Success
215,215,Study perhaps onto action describe. Or write around. Police century career part fund.,2.39,5.2,2026-01-30 17:46:26,Failed
216,216,Serious nothing receive happen tax off station. Among perhaps mouth amount tell less.,1.23,4.5,2026-04-29 13:09:01,Success
217,217,Product election event picture weight. Five section while. Really understand different bed newspaper.,6.68,2.6,2026-01-08 05:45:14,Failed
218,218,Responsibility organization girl go. Exist stuff executive form woman. Term others rate change.,13.42,6.7,2025-11-15 22:02:29,Failed
219,219,Appear record here doctor speech bill information. Finally institution language fast. Serious top image capital. Son as mean agree hear current.,10.64,6.5,2025-05-10 00:38:47,Partial
220,220,Discover rise week institution speak firm. Get key artist.,5.32,2.8,2025-06-27 09:49:16,Failed
221,221,Few decide opportunity film note. Report why rule half.,12.23,1.7,2025-06-15 00:43:37,Partial
222,222,On floor least of save serve usually. Mother itself season feel responsibility oil involve. Those network crime focus parent enough.,8.73,1.8,2026-01-23 17:56:14,Failed
223,223,How western hear light sign wife year. Suggest soon become enter talk south beyond. Clearly owner it drop.,7.29,5.1,2025-07-20 23:38:03,Failed
224,224,Recognize defense radio decision your if else control. Tv focus several spring various time least.,9.84,7.9,2026-01-03 01:41:38,Partial
225,225,Election keep truth perform. Difference movement full cell. Draw consumer offer edge. Assume pattern direction.,3.86,3.0,2026-03-14 09:20:22,Failed
226,226,Everything catch which manager audience opportunity change. Across pull former fly base successful real camera.,4.24,4.3,2025-10-06 09:42:50,Success
227,227,Food nothing participant attorney necessary determine. About strategy small.,10.64,7.0,2025-08-11 19:28:02,Partial
228,228,Contain serve year right. Trial manage level despite.,7.07,1.3,2026-05-08 02:13:25,Partial
229,229,Though media whether western I federal. Agreement sort about next appear her alone.,2.14,5.3,2026-01-01 22:12:31,Success
230,230,Perhaps someone career explain. Policy social father. Car many adult.,4.59,4.1,2026-01-14 23:45:59,Failed
231,231,Sit happen cold law case notice able. Store add always religious course meet. Plant soldier want third somebody watch.,2.35,1.9,2026-02-15 10:02:23,Failed
232,232,Off environment organization population decade. Understand wonder recognize number machine off must.,12.05,3.9,2025-08-24 05:10:59,Failed
233,233,Election trial media alone. Thousand sport add example reduce product central indicate. Fast camera seat wish either herself. Beyond responsibility one various.,1.53,3.7,2025-12-01 14:04:29,Partial
234,234,Forget explain usually direction. About available rate.,6.31,4.7,2025-10-25 00:29:06,Failed
235,235,Travel staff will reflect. Voice feel step upon claim.,4.03,2.4,2025-10-09 18:41:19,Partial
236,236,Receive ask message may center whole day. Poor power around price win face hold. His baby rule.,6.07,4.1,2026-02-03 08:54:23,Failed
237,237,Politics husband level woman outside win why. Agency quickly middle rather perhaps note.,9.07,8.1,2026-03-13 18:27:33,Partial
238,238,Third must wife task teach. Child house budget style arrive they. Base husband account industry green five.,8.72,4.1,2025-10-29 22:40:57,Failed
239,239,Week form program mission human foreign. Thousand goal yard common like ever. Appear model front.,3.92,7.0,2026-03-09 22:20:25,Success
240,240,Task fact arm author him effort blood. Through technology employee show. Particularly usually above soon street cut image move.,11.22,7.4,2025-10-20 16:40:58,Partial
241,241,Simply student star test room laugh when.,2.16,6.4,2025-10-13 20:43:10,Partial
242,242,Think fear view. Trouble mention in community.,8.55,8.4,2026-03-13 23:26:06,Success
243,243,Music save development. Since everyone attorney especially official on item at. Little machine suddenly start office main subject from.,4.97,4.7,2025-07-06 16:39:36,Failed
244,244,Body guy participant money federal. Less government show. Federal meeting worker of marriage police development.,2.08,8.3,2025-08-13 21:25:30,Partial
245,245,Once physical nature cell work ability.,5.25,6.8,2026-02-10 20:58:27,Success
246,246,Establish practice speak and do. Government most window cause. Exactly success adult course fine American benefit. Professor likely mouth least participant western.,1.81,8.4,2025-06-21 11:29:48,Failed
247,247,Message international environment training. Return cut may senior can paper skill.,13.6,6.7,2025-11-26 06:40:56,Success
248,248,South everybody number city position detail wife. All poor reveal heavy performance evidence. Information lose up decide support kitchen record.,11.48,6.9,2025-10-04 10:35:54,Partial
